"population","meanagegap","sdagegap","eyecap","transmission","Y35.mean","Y35.low","Y35.high"
200,5,1,1000,1,0.164590905329112,0.054140127388535,0.264462809917355
200,5,1,300,0,0.00990473073373878,0,0.0284090909090909
200,5,1,300,1,0.150195266699103,0.0208333333333333,0.241496598639456
200,5,2,1000,0,0.0158883492637165,0,0.0474777448071217
200,5,2,1000,1,0.221190403700297,0.0645161290322581,0.308196721311475
200,5,2,300,0,0.0100304069718094,0,0.0293255131964809
200,5,2,300,1,0.199385698778974,0,0.306930693069307
200,5,3,1000,0,0.0119170655153339,0,0.0338461538461538
200,5,3,1000,1,0.250798466961665,0.139097744360902,0.338870431893688
200,5,3,300,0,0.0184859408279156,0,0.0519125683060109
200,5,3,300,1,0.263899690093625,0.217391304347826,0.335243553008596
200,5,5,1000,0,0.0108442986236861,0,0.0272479564032698
200,5,5,1000,1,0.29029685148735,0.00284090909090909,0.368421052631579
200,5,5,300,0,0.0109729698919865,0,0.0328767123287671
200,5,5,300,1,0.25741223840698,0.0263157894736842,0.33993399339934
3000,0,1,1000,1,0.252454147474622,0.223451798254948,0.274146544546212
3000,0,1,300,1,0.218373330057378,0.190446650124069,0.24051981252663
3000,0,2,1000,1,0.289173673956473,0.26881243063263,0.308505850585059
3000,0,2,300,1,0.278028301576342,0.25563396312315,0.301140030114003
3000,0,3,1000,1,0.299550371866948,0.279121863799283,0.320388349514563
3000,0,3,300,1,0.297694517187257,0.28345604157644,0.315708305794228
3000,0,5,1000,1,0.321397453073509,0.30377524143986,0.337274146776712
3000,0,5,300,1,0.314993187806346,0.298169136878814,0.33175569078206
3000,10,1,1000,1,0.236498851817941,0.221598563089358,0.253485714285714
3000,10,1,300,1,0.21244967641865,0.19656688298095,0.227097602739726
3000,10,2,1000,1,0.254578187726638,0.240665766981556,0.268122467357046
3000,10,2,300,1,0.246954132193128,0.230022573363431,0.263467829880044
3000,10,3,1000,1,0.27344229590069,0.257208765859285,0.288873843376213
3000,10,3,300,1,0.267031344872265,0.251937984496124,0.281096745430227
3000,10,5,1000,1,0.298369463878502,0.281435756744399,0.315416285452882
3000,10,5,300,1,0.295855292124373,0.282282944028206,0.311417926802542
3000,1,1,1000,1,0.231009374560289,0.203541711115852,0.260587002096436
3000,1,1,300,1,0.22285468768819,0.19460343417825,0.248145921026258
3000,1,2,1000,1,0.284637607357988,0.263943785682916,0.303263825929284
3000,1,2,300,1,0.279126968838293,0.260600706713781,0.299442299442299
3000,1,3,1000,1,0.300453048604445,0.279627163781624,0.318535469107551
3000,1,3,300,1,0.291822683561105,0.271571906354515,0.310557586837294
3000,1,5,1000,1,0.321511545493658,0.302532511978097,0.335910848305663
3000,1,5,300,1,0.315067189858819,0.29743240172688,0.332810398924249
3000,2,1,1000,1,0.242026903126546,0.21461765948458,0.269346517626827
3000,2,1,300,1,0.250658787793394,0.228715577044356,0.267980935875217
3000,2,2,1000,1,0.284793956086475,0.263357079252004,0.302132435465769
3000,2,2,300,1,0.27659315859792,0.255090624300738,0.292238421955403
3000,2,3,1000,1,0.300852487631403,0.283395176252319,0.317424583520936
3000,2,3,300,1,0.289805663551371,0.274399820507068,0.308358698197144
3000,2,5,1000,1,0.319568950403228,0.304115684093437,0.337865397688647
3000,2,5,300,1,0.313663594459831,0.296921322690992,0.329323308270677
3000,5,1,1000,1,0.253151128206395,0.235714285714286,0.272038119991336
3000,5,1,300,1,0.207284538890606,0.178971863761371,0.233318700614574
3000,5,2,1000,1,0.278663836083547,0.264527709221449,0.296515450361604
3000,5,2,300,1,0.260991950346003,0.237830629028673,0.28135593220339
3000,5,3,1000,1,0.284821665965477,0.268427095292767,0.30256293944205
3000,5,3,300,1,0.283152566819331,0.265544332210999,0.298146473779385
3000,5,5,1000,1,0.311259740321467,0.291564656131761,0.330363109824014
3000,5,5,300,1,0.308278355443462,0.289103690685413,0.324348407217643
4000,0,1,1000,0,0.0153940188525446,0.0100634132892197,0.0210540613963597
4000,0,1,1000,1,0.257067226756835,0.237569060773481,0.276831486687614
4000,0,1,300,0,0.0119358232037431,0.0086230876216968,0.0165468601654686
4000,0,1,300,1,0.218814669427709,0.193029490616622,0.24299509260725
4000,0,2,1000,0,0.0162803395765071,0.0114429249232487,0.0222984562607204
4000,0,2,1000,1,0.291232110376001,0.274694416914437,0.306135986733002
4000,0,2,300,0,0.0149546354811883,0.00989562152636573,0.0209148562946971
4000,0,2,300,1,0.277425673575896,0.261479591836735,0.290716881400727
4000,0,3,1000,0,0.0159626520935034,0.0112844803566453,0.0218632502436986
4000,0,3,1000,1,0.304674039772666,0.291319857312723,0.322634017207148
4000,0,3,300,0,0.0146041033122551,0.0103399433427762,0.0201790535739662
4000,0,3,300,1,0.298015716421588,0.283414388730505,0.313490779682951
4000,0,5,1000,0,0.0139017377983729,0.00920810313075507,0.0181558255897069
4000,0,5,1000,1,0.322917425696792,0.308079114984915,0.336591943367605
4000,0,5,300,0,0.0145082653080797,0.00981629504978264,0.0199214365881033
4000,0,5,300,1,0.316892988621915,0.302684563758389,0.336077721060431
4000,10,1,1000,0,0.0148820348823069,0.00964495387195974,0.0212311199772015
4000,10,1,1000,1,0.234658961726051,0.224256292906178,0.245450153003704
4000,10,1,300,0,0.0128063560843595,0.00816215480886954,0.0185110663983903
4000,10,1,300,1,0.218498026799174,0.204621513944223,0.230553724456163
4000,10,2,1000,0,0.0143524839710565,0.0088807442909501,0.0201514934972131
4000,10,2,1000,1,0.255965819624035,0.241992882562278,0.27024308466052
4000,10,2,300,0,0.0144527010156628,0.00941828254847645,0.019709827539009
4000,10,2,300,1,0.245505921633876,0.232338064937184,0.259761747187293
4000,10,3,1000,0,0.0169274267433385,0.0110041265474553,0.0247436773752563
4000,10,3,1000,1,0.27179056588058,0.256575682382134,0.288917989851039
4000,10,3,300,0,0.0191696944337572,0.0125570776255708,0.027461749705767
4000,10,3,300,1,0.269399112677912,0.253921870193787,0.283296425181904
4000,10,5,1000,0,0.0134516398590899,0.00855310049893086,0.0181226107886167
4000,10,5,1000,1,0.299798281039036,0.286688851913478,0.313696122482942
4000,10,5,300,0,0.0143163947217011,0.00933333333333333,0.0201736806947228
4000,10,5,300,1,0.29986650932522,0.284614124201213,0.317188983855651
4000,1,1,1000,0,0.0147770635147803,0.0106189744306274,0.020424948594928
4000,1,1,1000,1,0.243479630059875,0.21912286359239,0.265764278639815
4000,1,1,300,0,0.0119953858247294,0.00832157968970381,0.0161971830985915
